SrNo,Date,a,Nature of Accident,Classification of Accident,Causes,Road Feature,Road Condition,Intersection Type and Control,Weather Condition,Vehicle Responsible,Fatal,Grevious,Minor,Injured,Help Provided by Ambulance/Patrol,Remarks
292,27/06/2015,17:00,skidding,1,2,fourlane,straight,junction,fine,Bike over speed fault of Motor vehicle,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to MVJ Hospital
293,27/06/2015,02:35,skidding,4,3,fourlane,sharpcurve,junction,fine,The car driver sleeping vehicle out of control- non injured,0,0,0,4,Petrol Vehicle,-
294,27/06/2014,14:30,others,4,3,fourlane,straight,junction,fine,Lorry,0,0,0,2,Petrol Vehicle,Over Speed out of control Helping Patrolling.
295,27/05/2016,06:00,overspeed,3,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to Bus,0,0,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital
296,27/05/2015,06:35,headoncollision,3 & 4,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to Bike,0,0,1,2,Petrol Vehicle,The injured person shifted to Jalappa Hospital
297,27/04/2016,21:30,others,3,2 & 3,fourlane,straight,junction,fine,Multi axle over speed self accident,0,0,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital
298,27/04/2016,17:56,headoncollision,2,2,fourlane,straight,junction,fine,Truck over speed and hit to the parked truck,0,1,0,0,Ambulance,The injured person shifted to Govt. Hospital Hoskote
299,27/03/2016,13:20,skidding,3,3,fourlane,straight,junction,fine,Car over speed Driver sleeping vehicle skidding,0,0,6,0,Ambulance/Petrol Vehicle,The injured person shifted to SNR Hospital
300,27/02/2016,20:30,overspeed,3,2 & 3,fourlane,straight,tjunction,fine,Car over speed vehicle out of control Self accident,0,0,3,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital
301,27/11/2016,14:35,headoncollision,2,2 & 5,fourlane,straight,junction,fine,car over speed and hit to two wheeler,0,1,0,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar
302,27/11/2015,12:20,skidding,4,2,fourlane,straight,junction,fine,Bike over speed and skidding self Accident,0,0,0,1,Petrol Vehicle,The person shift to Jalappa Hospital
303,27/11/2015,21:00,headoncollision,4,3 & 5,fourlane,straight,junction,fine,BUS Hit to LCV,0,0,1,2,Ambulance/Petrol Vehicle,The injure Person shifted to Jalappa Hospital
304,27/11/2015,12:45,headoncollision,1 & 3,2 & 5,fourlane,straight,junction,fine,Car over speed and Hit to two wheeler,1,0,1,0,Ambulance/Petrol Vehicle,The fatal body & Injured person shifted to Govt Hospital
305,27/11/2015,10:45,headoncollision,2,2 & 5,fourlane,straight,junction,fine,Car over speed and Hit to Two wheeler,0,3,0,0,Ambulance/Petrol Vehicle,The Injured person shifted to MVJ Hospital
306,27/11/2014,19:00,overspeed,1,2 & 5,fourlane,straight,junction,fine,The car hit to the road pedestrian the fault of car over speed,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Jalappa Hospital
307,27/10/2015,14:10,headoncollision,1 & 2,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to Two wheeler,1,2,0,0,Ambulance/Petrol Vehicle,The fatal body and injured person shifted to Jalappa Hospital
308,27/10/2015,10:15,headoncollision,3,2,fourlane,straight,junction,fine,LCV over speed and Hit to Two wheeler,0,0,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital
309,27/01/2018,05:10,skidding,3,3 & 9,fourlane,slightcurve,junction,fine,LCV over speed self accident due to defect in mechanical condition,0,0,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar
310,27/01/2017,17:20,headoncollision,2,5,fourlane,straight,junction,fine,Two wheeler over speed and hit to Multi axle,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Private Hospital Bhattarhalli
311,27/01/2015,01:45,others,2 & 3,3,fourlane,straight,junction,fine,Driver sleeping,0,1,2,0,Ambulance/Petrol Vehicle,The injure person shifted to MVJ Hospital
312,26/08/2016,19:45,overspeed,1,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to road crossing Pedestrian,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Jalappa Hospital
313,26/07/2017,16:35,headoncollision,2,2 & 9,fourlane,straight,junction,fine,Two wheeler over speed and hit to Mini Bus,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Silcon city Hospital
314,26/07/2017,05:15,headoncollision,3,2,fourlane,straight,junction,fine,Truck over speed hit to JCB,0,0,1,0,Petrol Vehicle,Minor injured Vehicle shifted to Kolar Traffic police station
315,26/07/2015,15:15,overspeed,1,3 & 7,fourlane,slightcurve,junction,fine,Car hit to road crossing pedestrian,1,0,0,0,Ambulance,The fatal body shifted to SNR Hospital
316,26/06/2017,16:00,headoncollision,2,3 & 5,fourlane,straight,junction,fine,car over speed and hit to two wheeler,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
317,26/06/2016,09:20,skidding,1,7,fourlane,straight,junction,fine,Car over speed and hit to road crossing Pedestrian. Fault of Road crossing pedestrian,2,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to MVJ Hospital
318,26/05/2016,01:54,skidding,3,1,fourlane,straight,junction,fine,Two wheeler over speed self accident,0,0,1,0,Ambulance,The injured person shifted to MVJ Hospital
319,26/03/2017,15:50,headoncollision,2,2 & 5,fourlane,slightcurve,junction,fine,car over speed and hit to Auto,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Private Hospital Hoskote
320,26/02/2018,06:10,skidding,1,2 & 4,fourlane,straight,junction,fine,Two wheeler over speed Self accident,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Govt. Hospital Hoskote
321,26/02/2016,21:30,skidding,1 & 3,1 & 2,fourlane,slightcurve,junction,fine,Two wheeler over speed Drunk & Drive,1,0,1,0,Ambulance/Petrol Vehicle,The Fatal & Injured person shifted to Jalappa Hospital
322,26/02/2015,20:35,others,2 & 4,2 & 4,fourlane,straight,staggeredjunction,fine,Bike over speed and vehicle skidding,0,1,0,1,Petrol Vehicle,The injured person shifted to Jalappa Hospital
323,26/12/2016,15:40,headoncollision,1 & 3,2 & 5,fourlane,straight,junction,fine,Multi Axle over speed and hit to Two wheeler,1,0,1,0,Ambulance/Petrol Vehicle,The fatal body shifted to Jalappa Hospital
324,26/11/2014,19:10,others,2 & 3 & 4,2 & 3,fourlane,straight,junction,fine,Self accident due to vehicle tyre puncher and over speed vehicle out of control,0,1,2,8,Ambulance,The injured person shifted to Jalappa Hospital
325,26/11/2014,18:30,others,2,4,fourlane,straight,junction,fine,Bike over speed fault of Motor vehicle,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
326,26/10/2017,22:45,overspeed,3,2,fourlane,straight,junction,fine,Car over speed and hit to car. Negligence driving,0,0,1,0,Ambulance/Petrol Vehicle,The injured person shifted to Private Hospital Hoskote
327,26/10/2017,22:50,headoncollision,1 & 3,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to Agriculture vehicle.,1,0,1,0,Ambulance,The fatal body shifted to Private Hospital Hoskote
328,26/10/2014,17:30,overspeed,2,2 & 5,fourlane,straight,yjunction,fine,Car over speed in carriageway and overtaking the another vehicle and Cross the road of other vehicle to Hit in Junction portion,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
329,26/01/2016,00:20,headoncollision,2,2 & 4,fourlane,straight,junction,fine,Two wheeler over speed and hit to Car,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
330,26/01/2016,03:00,skidding,2,2 & 3,fourlane,straight,junction,fine,Car over speed self accident,0,4,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
331,26/01/2015,23:30,skidding,1,1,fourlane,straight,junction,fine,Self Accident Drunk & Drive,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Jalappa Hospital
332,25/09/2016,00:30,overspeed,2,2 & 3,fourlane,slightcurve,junction,fine,Car over speed self accident,0,1,0,0,Petrol Vehicle,The injured person shifted to MVJ Hospital
333,25/09/2016,08:30,skidding,3,2,fourlane,slightcurve,junction,fine,Two wheeler over speed Self accident,0,0,1,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar
334,25/08/2016,21:45,headoncollision,2,9,fourlane,straight,junction,fine,Car over speed vehicle out of control due to defects in mechanical condition and Hit to the two wheeler,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Private Hospital Hoskote
335,25/08/2016,21:45,overspeed,2 & 3,2 & 4,fourlane,straight,junction,fine,Two wheeler over speed and hit to Two wheeler,0,1,1,0,Ambulance/Petrol Vehicle,The injured person shifted to Srinivasa Hospital
336,25/08/2014,15:30,others,2 & 4,1,fourlane,straight,junction,fine,Drunken and Drive,0,1,0,1,Ambulance/Petrol Vehicle,The injured persons shifted to Jalapa Hospital
337,25/07/2014,15:45,skidding,3 & 4,2,fourlane,straight,junction,fine,Omini,0,0,2,3,Ambulance/Petrol Vehicle,Shifted to RL Jalappa Hospital Kolar
338,25/06/2017,21:00,headoncollision,3,2,fourlane,straight,junction,fine,car over speed and hit to two wheeler,0,0,1,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
339,25/06/2017,11:00,headoncollision,1,2 & 5,fourlane,slightcurve,junction,fine,car over speed and hit to two wheeler,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Jalappa Hospital
340,25/06/2017,20:00,overspeed,1,2,fourlane,straight,junction,fine,Unknown vehicle over speed and hit to two wheeler,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Jalappa Hospital
341,25/06/2016,19:45,skidding,2,2 & 4,fourlane,straight,junction,fine,Two wheeler over speed self accident,0,3,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
342,25/06/2016,20:10,headoncollision,2 & 3,5,fourlane,straight,junction,fine,Multi axle wrong route driving and hit to car,0,1,2,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
343,25/06/2015,02:30,skidding,3,1,fourlane,slightcurve,junction,fine,Bike drunk & drive,0,0,1,0,Ambulance,The injured person shifted to SNR Hospital
344,25/05/2017,14:30,skidding,2,2 & 5,fourlane,straight,junction,fine,Truck over speed and hit to Two wheeler,0,1,0,0,Petrol Vehicle,The injured person shifted to Private Hospital Bhattarhalli
345,25/05/2015,14:00,others,3,2,fourlane,straight,junction,fine,Bike,0,0,1,1,Petrol Vehicle,Bike lost control by over speed (self accident)
346,25/12/2016,23:20,skidding,1,2 & 9,fourlane,straight,junction,fine,"Truck over speed, Self accident. Defect in mechanical conditions.",1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Private Hospital Hoskote
347,25/11/2014,23:15,headoncollision,2 & 3 & 4,2 & 3,fourlane,slightcurve,junction,fine,Car hit to the other car because of over speed on the carriageway and vehicle out of control,0,1,2,2,Petrol Vehicle,The injured person shifted to SNR Hospital
348,25/11/2014,23:15,headoncollision,2 & 3 & 4,2 & 3,fourlane,slightcurve,junction,fine,Car hit to the other car because of over speed on the carriageway and vehicle out of control,0,1,2,2,Petrol Vehicle,The injured person shifted to SNR Hospital
349,25/10/2017,06:00,overspeed,3,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to car,0,0,3,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar
350,25/01/2018,13:40,headoncollision,2,2 & 5,fourlane,straight,junction,fine,Unknown vehicle over speed and hit to two wheeler,0,2,0,0,Petrol Vehicle,The injured person shifted to Govt. Hospital Hoskote
351,25/01/2016,23:30,headoncollision,3,2 & 5,fourlane,straight,junction,fine,LCV over speed and hit to Truck,0,0,2,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital
352,25/01/2015,09:30,headoncollision,2 & 3 & 4,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to Bike,0,1,1,2,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital
353,24/09/2017,01:55,headoncollision,2,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to car,0,2,0,0,Ambulance,The injured person shifted to Private Hospital Hoskote
354,24/09/2017,14:00,overspeed,2,2,fourlane,straight,junction,fine,Car over speed hit to Three wheeler,0,5,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Private Hospital Hoskote
355,24/08/2016,23:45,headoncollision,2,2 & 5,fourlane,straight,junction,fine,Truck over speed and hit to car,0,2,0,0,Ambulance,The injured person shifted to MVJ Hospital
356,24/08/2016,19:30,overspeed,1,2,fourlane,straight,junction,fine,Unknown vehicle hit and run,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Jalappa Hospital
357,24/08/2016,23:45,overspeed,2,2 & 5,fourlane,straight,junction,fine,Truck over speed and hit to LCV,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Private Hospital Hoskote
358,24/08/2015,20:00,headoncollision,1,2 & 4,fourlane,straight,junction,fine,Fault of driver of Motor vehicle,1,0,0,0,Petrol Vehicle,The fatal body shifted to SNR Hospital
359,24/08/2014,22:45,overspeed,2 & 3 & 4,2 & 5,fourlane,straight,junction,fine,BBMP vehicle break down in Main carriage way another vehicle back side coming over speed the vehicle hit to the break down vehicle and vehicle skidding in centre of the road oppsite side KSRTC bus come in the main carraigeway that vehicle suddenly break the vehcile to hit median guard rail,0,4,3,2,Ambulance/Petrol Vehicle,Injured peoples are shifted to Hospital KR Puram
360,24/07/2015,01:15,headoncollision,3,1,fourlane,straight,junction,fine,Car over speed and hit to jeep,0,0,2,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
361,24/06/2016,22:45,headoncollision,3,2,fourlane,straight,junction,fine,Multi axle over speed and hit to LCV,0,0,1,0,Ambulance,The injured person shifted to MVJ Hospital
362,24/06/2016,16:00,overspeed,1,2 & 7,fourlane,slightcurve,junction,fine,Bus over speed and Hit to Road crossing Pedestrian,1,0,0,0,Ambulance,The fatal body shifted to Jalappa Hospital
363,24/06/2016,16:00,skidding,1,7,fourlane,straight,junction,fine,Bus over speed and Hit to Road crossing Pedestrian,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Jalappa Hospital
364,24/06/2015,17:00,overspeed,3,2 & 5,fourlane,straight,tjunction,fine,Car over speed and Hit to LCV,0,0,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital
365,24/04/2016,00:30,others,3,2 & 3,fourlane,straight,junction,fine,LCV over speed vehicle out of control self accident,0,0,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital
366,24/04/2016,04:45,headoncollision,2,2 & 5,fourlane,straight,junction,fine,Car U turn the opening that time opposite car over speed and hit to car,0,3,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
367,24/02/2018,13:45,headoncollision,2,2 & 4,fourlane,straight,junction,fine,Two wheeler over speed and hit to truck,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Private Hospital Hoskote
368,24/02/2017,19:00,skidding,2,2 & 3,fourlane,slightcurve,junction,fine,Car over speed self accident,0,3,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
369,24/02/2016,06:30,skidding,1,2 & 3 & 4,fourlane,straight,junction,fine,Car over speed Tyre blast vehicle out of control,1,0,0,0,Ambulance,The fatal body shifted to Jalappa Hospital
370,24/02/2016,07:35,skidding,3,2 & 3,fourlane,straight,junction,fine,Car over speed vehicle out of control Self accident,0,0,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital
371,24/02/2016,20:30,headoncollision,3,2 & 5,fourlane,slightcurve,junction,fine,Car over speed and Hit to Govt. Bus,0,0,3,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital
372,24/12/2017,15:45,overspeed,1,2 & 5,fourlane,straight,junction,fine,Truck over speed and hit to Two wheeler,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Jalappa Hospital
373,24/12/2015,23:40,rightturncollision,3,4,fourlane,straight,junction,fine,Car over speed and hit to Two wheeler,0,0,2,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital
374,24/12/2014,21:30,others,2,1,fourlane,slightcurve,junction,fine,Drunk & Drive Bike,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
375,24/11/2017,09:00,headoncollision,3,2 & 5,fourlane,straight,junction,fine,Truck over speed and hit to Car,0,0,1,0,Petrol Vehicle,Minor injured Vehicle shifted to Kolar Traffic police station
376,24/11/2016,13:30,skidding,3,2 & 4,fourlane,straight,junction,fine,Two wheeler over speed and hit to two wheeler,0,0,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital
377,24/11/2014,17:45,skidding,2,2 & 3,fourlane,straight,junction,fine,Bike over speed and vehicle skidding,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
378,24/10/2016,11:10,skidding,3 & 4,2 & 9,fourlane,straight,junction,fine,Car over speed self accident. Defects in mechanical condition,0,0,1,2,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar
379,24/10/2016,11:10,skidding,3 & 4,2 & 9,fourlane,straight,junction,fine,Car over speed self accident. Defects in mechanical condition,0,0,1,2,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar
380,24/10/2015,22:00,skidding,3,2 & 3,fourlane,straight,junction,fine,Two wheeler over speed and skidding,0,0,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital
381,23/09/2016,17:00,skidding,3,9,fourlane,straight,junction,fine,Self accident,0,0,2,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar
382,23/09/2015,11:00,skidding,1,2 & 3,fourlane,slightcurve,junction,fine,Two wheeler over speed and skidding,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to MVJ Hospital
383,23/08/2016,16:35,headoncollision,3,2 & 5,fourlane,straight,junction,fine,Car over speed and Hit to LCV,0,0,1,0,Petrol Vehicle,There is no problem in minor injured trafficclear
384,23/08/2015,17:45,headoncollision,2,2 & 4,fourlane,straight,junction,fine,Car over speed and hit to Two wheeler,0,2,0,0,Ambulance,The injured person shifted to MVJ Hospital
385,23/08/2015,23:00,overspeed,2,2 & 3 & 4,fourlane,straight,junction,fine,Truck over speed and Hit to the Two wheeler,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
386,23/08/2014,14:30,others,2 & 3 & 4,5,fourlane,slightcurve,junction,fine,Omni car wrong side driving Hit to Tata Indica,0,2,1,2,Ambulance/Petrol Vehicle,The injured persons shifted to SNR Hospital
387,23/08/2014,23:30,overspeed,3 & 4,2 & 3,fourlane,straight,junction,fine,TATA Ace Break Down vehicle parked in shoulder side another one vehicle Back side car over speed and Hit to TATA Ace and Median lane Car was over speed suddenly vehicle out off control again hit to shoulder lane car Total this portion contnius 6 vehicle are accident,0,0,4,6,Ambulance/Petrol Vehicle,Traffic Clear and Injured persons shifted to Hospital KR Puram
388,23/07/2017,23:15,skidding,2,2,fourlane,straight,junction,fine,car over speed and hit to two wheeler,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
389,23/07/2015,06:15,headoncollision,1,2 & 3,fourlane,straight,junction,fine,Car over speed vehicle out of control,1,0,0,0,Petrol Vehicle,The fatal body shifted to SNR Hospital
390,23/07/2015,19:15,overspeed,3,2 & 5,fourlane,straight,junction,fine,LCV hit to Bike,0,0,2,0,Ambulance,The minor injured person shifted to Hospital
391,23/07/2015,15:00,skidding,1,2 & 3,fourlane,straight,junction,fine,Bike over speed and Hit to the tanker,1,0,0,0,Petrol Vehicle,The fatal body shifted to Jalappa Hospital
392,23/06/2016,19:20,headoncollision,3,2 & 4,fourlane,straight,tjunction,fine,LCV over speed and hit to Two wheeler,0,0,3,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital
393,23/06/2016,19:20,headoncollision,3 & 4,2 & 5,fourlane,straight,tjunction,fine,LCV over speed and Hit to Two wheeler,0,1,2,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital
394,23/06/2016,11:10,overspeed,2,2 & 4,fourlane,straight,junction,fine,Car over speed and hit to Two wheeler on over turn,0,1,0,0,Ambulance,The injured person shifted to MVJ Hospital
395,23/06/2015,10:15,skidding,2,2 & 5,fourlane,straight,junction,fine,Fault of car vehicle over speed and hit to bike,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
396,23/06/2015,16:15,overspeed,2 & 3,2 & 5,fourlane,straight,junction,fine,Fault of car vehicle over speed and hit to bike,0,1,1,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
397,23/05/2018,14:10,collisionbrush,2,2 & 3,fourlane,straight,junction,fine,Car over speed and hit to car,0,1,0,0,Ambulance,The injured person shifted to Private Hospital Bhattarhalli
398,23/05/2017,09:30,headoncollision,1,4,fourlane,straight,junction,cloudy,Two wheeler over taking the Bus. Negligible Driving of Two wheeler,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Private Hospital Hoskote
399,23/05/2015,20:55,others,2,2 & 4,fourlane,straight,junction,fine,Bike over speed fault of Motor vehicle,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
400,23/05/2015,21:30,others,1,2,fourlane,straight,junction,fine,Bus,1,0,0,0,Ambulance,Bus lost control by over speed
401,23/05/2015,21:30,overspeed,1,2 & 5,fourlane,slightcurve,junction,fine,Pedestrian road crossing in the carriageway Multi axle Hit and Run,1,0,0,0,Petrol Vehicle,The fatal body shifted to SNR Hospital
402,23/04/2017,03:10,skidding,2,1,fourlane,straight,junction,fine,Self accident Drunk & Drive,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Private Hospital Hoskote
403,23/04/2017,16:15,headoncollision,2,2 & 3,fourlane,straight,junction,fine,Car over speed and hit to Agriculture vehicle.,0,1,0,0,Petrol Vehicle,The injured person shifted to MVJ Hospital
404,23/04/2017,17:00,headoncollision,2,2,fourlane,straight,junction,fine,car over speed and hit to two wheeler. Negligible driving,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Private Hospital Hoskote
405,23/04/2016,20:45,skidding,2,2,fourlane,straight,junction,fine,Two wheeler over speed skidding because of over speed,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
406,23/04/2014,11:45,others,4,3,fourlane,straight,junction,fine,Car,0,0,0,1,Ambulance/Petrol Vehicle,Car driver slept while driving and rammed into the central median self accident
407,23/03/2018,19:50,overspeed,2,2,fourlane,straight,junction,fine,Two wheeler over speed Self accident,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
408,23/02/2016,12:45,headoncollision,1 & 3,2 & 5,fourlane,sharpcurve,junction,fine,Car over speed and hit to Two wheeler,1,0,1,0,Petrol Vehicle,The fatal body & injured person shifted to Jalappa Hospital
409,23/02/2016,12:45,headoncollision,1,1 & 4,fourlane,straight,junction,fine,Two wheeler over speed Drunk & Drive,1,0,0,0,Ambulance,The fatal body shifted to Jalappa Hospital
410,23/12/2016,05:15,skidding,2,2,fourlane,straight,junction,fine,LCV over speed and hit to LCV,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Govt Hospital Avalahalli
411,23/12/2015,17:35,headoncollision,4,2,fourlane,straight,junction,fine,Auto hit to the bike. Bike damaged,0,0,0,2,Petrol Vehicle,Non injured.
412,23/11/2014,18:00,overspeed,3 & 4,2 & 3 & 7,fourlane,straight,junction,fine,Vehicle over speed and hit to the another vehicle,0,0,1,3,Ambulance,The fatal body shifted to SNR Hospital
413,23/10/2017,12:30,skidding,2,2,fourlane,straight,junction,fine,car over speed and hit to two wheeler,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
414,23/10/2014,14:17,overspeed,3,2,fourlane,straight,tjunction,fine,Lorry over taking and Hit to the Car in Junction,0,0,2,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
415,23/01/2017,12:45,skidding,2,2,fourlane,straight,junction,fine,Self accident Two wheeler over speed,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
416,23/01/2016,20:20,headoncollision,3,2 & 5,fourlane,straight,tjunction,fine,Car hit to the other car because of over speed on the carriageway and vehicle out of control,0,0,1,0,Ambulance,The injured person shifted to MVJ Hospital
417,22/09/2014,14:10,overspeed,2 & 3,2 & 3,fourlane,slightcurve,junction,fine,Car over speed,0,2,1,0,Ambulance/Petrol Vehicle,The injured persons shifted to Jalapa Hospital
418,22/08/2016,10:00,skidding,2,2 & 4,fourlane,straight,junction,fine,Fault of Two wheeler over speed to crossing road car was hit to two wheeler.,0,1,0,0,Petrol Vehicle,The injured person shifted to KR Puram Private Hospital
419,22/08/2016,16:30,headoncollision,3,4,fourlane,straight,junction,fine,Fault of Two wheeler over speed and hit to parking vehicle of Tractor,0,0,1,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
420,22/08/2015,19:10,skidding,1,1,fourlane,straight,junction,fine,Drunk & Drive Two wheeler,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to MVJ Hospital
421,22/08/2015,14:10,others,1,7,fourlane,straight,junction,fine,Fault of Pedestrian across the Road,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Govt Hospital Hoskote
422,22/08/2014,10:00,overspeed,3 & 4,2,fourlane,straight,junction,fine,Zen car Hit to I-20 Car vehicle over speed,0,0,1,3,Ambulance/Petrol Vehicle,Traffic clear and vehicle shit to Kolar Police station
423,22/08/2014,10:00,overspeed,3 & 4,2,fourlane,straight,junction,fine,Car,0,0,2,2,Ambulance/Petrol Vehicle,"2-Minor, 2-Non Injured. Helping Ambulance Shift to SNR Hospital."
424,22/07/2017,09:21,headoncollision,2,2 & 4,fourlane,straight,junction,fine,Two wheeler over speed and hit to car,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Private Hospital Hoskote
425,22/07/2017,08:10,headoncollision,3,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to car,0,0,4,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar
426,22/07/2016,15:55,overspeed,2,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to Two wheeler,0,1,0,0,Ambulance,The injured person shifted to Private Hospital Hoskote
427,22/06/2017,14:35,headoncollision,1 & 3,2 & 4,fourlane,slightcurve,junction,fine,Two wheeler over speed and hit to car,1,0,1,0,Ambulance/Petrol Vehicle,The fatal body shifted to Jalappa Hospital
428,22/06/2016,14:30,skidding,3 & 4,2,fourlane,straight,junction,fine,Two wheeler over speed self accident,0,0,1,1,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
429,22/06/2016,14:30,skidding,2 & 3,1 & 2,fourlane,slightcurve,junction,fine,Two wheeler over speed self accident,0,1,2,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital
430,22/06/2015,15:00,others,3,2,fourlane,straight,junction,fine,Bike,0,1,1,0,Ambulance,Bike rider hits car with over speed
431,22/05/2018,08:30,headoncollision,2,2 & 5,fourlane,straight,junction,fine,Bus over speed and hit to Car,0,1,0,0,Ambulance,The injured person shifted to Private Hospital Hoskote
432,22/05/2015,22:45,others,2,1,fourlane,slightcurve,junction,fine,Drunk & Drive,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
433,22/04/2017,17:15,headoncollision,2,2 & 5,fourlane,straight,junction,fine,Bus over speed and hit to two wheeler,0,1,0,0,Ambulance,The injured person shifted to Private Hospital Hoskote
